COLUNA                                   | TIPO
--------------------------------------------------
nu_inscricao                             | bigint
tp_faixa_etaria                          | int
tp_sexo                                  | string
tp_estado_civil                          | int
tp_cor_raca                              | int
tp_nacionalidade                         | int
tp_st_conclusao                          | int
tp_ano_concluiu                          | int
tp_escola                                | int
tp_ensino                                | int
in_treineiro                             | int
co_municipio_esc                         | int
no_municipio_esc                         | string
co_uf_esc                                | int
sg_uf_esc                                | string
tp_dependencia_adm_esc                   | int
tp_localizacao_esc                       | int
tp_sit_func_esc                          | int
co_municipio_prova                       | int
no_municipio_prova                       | string
co_uf_prova                              | int
sg_uf_prova                              | string
tp_presenca_cn                           | int
tp_presenca_ch                           | int
tp_presenca_lc                           | int
tp_presenca_mt                           | int
co_prova_cn                              | int
co_prova_ch                              | int
co_prova_lc                              | int
co_prova_mt                              | int
nu_nota_cn                               | double
nu_nota_ch                               | double
nu_nota_lc                               | double
nu_nota_mt                               | double
tx_respostas_cn                          | string
tx_respostas_ch                          | string
tx_respostas_lc                          | string
tx_respostas_mt                          | string
tp_lingua                                | int
tx_gabarito_cn                           | string
tx_gabarito_ch                           | string
tx_gabarito_lc                           | string
tx_gabarito_mt                           | string
tp_status_redacao                        | int
nu_nota_comp1                            | int
nu_nota_comp2                            | int
nu_nota_comp3                            | int
nu_nota_comp4                            | int
nu_nota_comp5                            | int
nu_nota_redacao                          | int
q001                                     | string
q002                                     | string
q003                                     | string
q004                                     | string
q005                                     | int
q006                                     | string
q007                                     | string
q008                                     | string
q009                                     | string
q010                                     | string
q011                                     | string
q012                                     | string
q013                                     | string
q014                                     | string
q015                                     | string
q016                                     | string
q017                                     | string
q018                                     | string
q019                                     | string
q020                                     | string
q021                                     | string
q022                                     | string
q023                                     | string
q024                                     | string
q025                                     | string
